Country,Year,Finishyear,N,Responserate,Round
Sweden,01.08.14-30.01.15,2015,1 791,50.1,7
Denmark,12.09.14-17.02.15,2015,1 502,51.9,7
Sweden,01.10.12-05.05.13,2013,1 847,52.4,6
Denmark,10.01.13-24.04.13,2013,1 650,49.1,6
Sweden,27.09.10-01.03.11,2011,1 497,51,5
Denmark,20.09.10-31.01.11,2011,1 576,55.4,5
Sweden,15.09.08-03.02.09,2009,1 830,62.2,4
Denmark,01.09.08-11.01.09,2009,1 610,53.9,4
Sweden,21.09.06-03.02.07,2007,1 927,65.9,3
Denmark,19.09.06-02.05.07,2007,1 505,50.8,3
Sweden,29.09.04-19.01.05,2005,1 948,65.4,2
Denmark,09.10.04-31.01.05,2005,1 487,64.2,2
Sweden,23.09.02-20.12.02,2002,1 999,69.5,1
Denmark,28.10.02-19.06.03,2003,1 506,67.6,1
